Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
Sean Connery,,Twilight,,,,,Russian Federation,Smelt,,
Sebastian Coe,,Star Trek,,,,,Rutland ,Snail,,
Seve Ballesteros,,Gran Torino,,,,,Rutland Water,Snake,,
Sex Pistols,,In Pursuit of Happyness,,,,,Rwanda,Snow Leopard,,
Sharon Stone,,Kes,,,,,Sahara Desert,Snow Tiger,,
Sharron Davis,,Rocky,,,,,Salford ,Snowy Owl,,
Sid James,,Anchorman,,,,,Salisbury,Song Thrush,,
Sidney Poitier,,One Hour Photo,,,,,Salisbury Cathedral,Sord,,
Sigmund Freud,,Layer Cake,,,,,Salisbury Plain,Soul,,
Sigourney Weaver,,Mama Mia!,,,,,Samoa,Sounder,,
Simon & Garfunkel,,Dawn of the Dead,,,,,San Andreas Fault,Span,,
Simon King,,Night of the Living Dead,,,,,San Francisco,Sparrow,,
Simon Le Bon,,Dracula,,,,,San Jose,Sparrowhawk,,
Simon Pegg,,Yes Man,,,,,San Marino,Speckled Wood,,
Simon Templar,,The Terminal,,,,,San Salvador,Spider,,
Sinead O'Connor,,300,,,,,Sana,Spoonbill,,
Smokey Robinson,,Zulu,,,,,Sandown Park Race Course,Squab,,
Spice Girls,,Runaway Jury,,,,,Santiago,Squid,,
Spike Milligan,,Alexander,,,,,Santo Domingo,Squirrel,,
Stan Collymore,,The Neverending Story,,,,,Sao Tome,Stag Beetle,,
Status Quo,,Santa Claus: The Movie,,,,,Sao Tome and Principe,Stallion,,
Stephen Fry,,Hairspray,,,,,Sarajevo,Starfish,,
Stephen Gerard,,The Phantom of the Opera,,,,,Sark,Starling,,
Stephen Hawking,,The Curious Case of Benjamin Button,,,,,Saudi Arabia,Stegasaurus,,
Stephen Hendry,,The Deer Hunter,,,,,Scafell,Stergen,,
Stephen King,,Raging Bull,,,,,Scafell Pike,Stick Insect,,
Steve Buschemi,,Valkyrie,,,,,Scotland,Stickleback,,
Steve Carrell,,Night at the Museum,,,,,Sea of Japan ,Sting Ray,,
Steve Coogan,,,,,,,Sea of Okhotsk ,Stoat,,
Steve Davis,,,,,,,Senegal,Stork,,
Steve McManaman,,,,,,,Seoul,String,,
Steven Gerrard,,,,,,,Serbia,Stud,,
Stevie Wonder,,,,,,,Seychelles,Swallow,,
Sting,,,,,,,Shannon,Swan,,
Sue Barker,,,,,,,Sheffield ,Swarm,,
Sugababes,,,,,,,Sherwood Forest,Swift,,
Sugar Ray Leonard,,,,,,,Shropshire ,Swine,,
Suzi Quatro,,,,,,,Siberia,Swordfish,,
Sven Goran Eriksson,,,,,,,Sierra Leone,Tadpole,,
Sylvester Stallone,,,,,,,Silicon Valley,Tapeworm,,
Take That,,,,,,,Singapore,Tapir,,
Tchaikovsky,,,,,,,Sizewell Power Station,Tarantula,,
Ted Heath,,,,,,,Skiddaw,Tarsier,,
Telly Savalas,,,,,,,Skopje,Tasmanian Devil,,
Terence Conran,,,,,,,Slieve Donard,Tawny Owl,,
Terry Wogan,,,,,,,Slovakia,Team,,
Thierry Henry,,,,,,,Slovenia,Tench,,
Thomas Cromwell,,,,,,,Snowdonia,Termite,,
Tiger Woods,,,,,,,Snowy Mountains,Terrapin,,
Tim Brook-Taylor,,,,,,,Sofia,Thunder Fly,,
Tim Curry,,,,,,,Sole,Tick,,
Tim Henman,,,,,,,Solomon Islands,Tiding,,
Tina Turner,,,,,,,Somalia,Tiger,,
Tom Baker,,,,,,,Somerset ,Tiger ,,
Tom Berenger,,,,,,,South Africa,Tiger Shark,,
Tom Cruise,,,,,,,South America,Tigon,,
Tom Hanks,,,,,,,South Carolina,Toad,,
Tom Jones,,,,,,,South China Sea ,Tortoise,,
Tommy Cooper,,,,,,,South Dakota,Toucan,,
Tommy Steele,,,,,,,South Downs,Tower,,
Tony Banks,,,,,,,South Georgia,Toy Poodle,,
Tony Blair,,,,,,,South Humberside ,Trapdoor Spider,,
Tony Curtis,,,,,,,"South Island,",Tribe,,
Tony Hancock,,,,,,,South Utsire,Triceratops,,
Tony Slattery,,,,,,,South Yorkshire ,Trip,,
Torville & Dean,,,,,,,Southampton ,Troop,,
Trevor McDonald,,,,,,,Southeast Iceland,Troubling,,
TS Eliot,,,,,,,Southern Ocean ,Trout,,
Tutankhamen,,,,,,,Spain,Tufted Duck,,
Twiggy,,,,,,,Sri Lanka,Tuna,,
Uma Thurman,,,,,,,St Albans ,Turkey,,
Uri Geller,,,,,,,St David's,Turtle,,
Usain Bolt,,,,,,,St James Park,Turtle Dove,,
Van Morrison,,,,,,,St Paul's Cathedral,Turtledove,,
Vanessa Redgrave,,,,,,,St Petersburg,Tyranasaurus Rex,,
Venus Williams,,,,,,,St Tropez,Vampire Bat,,
Vera Wang,,,,,,,St. George's,Vicuña,,
Victor Kiam,,,,,,,St. John's,Viper,,
Victoria Beckham,,,,,,,St. Kitts and Nevis,Volery,,
Victoria Wood,,,,,,,St. Lucia,Vulcher,,
Vinny Jones,,,,,,,St. Mark's Square,Waallaby,,
Virginia Woolf,,,,,,,St. Vincent and The Grenadines,Walrus,,
Vivaldi,,,,,,,Staffordshire ,Warthog,,
Vivienne Westwood,,,,,,,Statue of Liberty,Wasp,,
Wagner,,,,,,,Statue of Zeus at Olympia,Water Boatman,,
Walt Disney,,,,,,,Stirling ,Water buffalo,,
Walter Matthau,,,,,,,Stockholm,Weasel,,
Wayne Rooney,,,,,,,Stoke-on-Trent ,Wedge,,
Wayne Sleep,,,,,,,Stonehenge,Weyr,,
Wet Wet Wet,,,,,,,Striding Edge,Whale,,
WG Grace,,,,,,,Sudan,Whale Shark,,
Wham,,,,,,,Suffolk ,Whimbrel,,
Whitney Houston,,,,,,,Sumatra,Whippet,,
Whoopi Goldberg,,,,,,,Sunderland ,White Admiral,,
Will Carling,,,,,,,Suriname,White Egret,,
Will Smith,,,,,,,Surrey ,Wild Boar,,
William Hague,,,,,,,Sussex ,Wild Cat,,
William Shakespeare,,,,,,,Suva,Wolf,,
William the Conquerer,,,,,,,Swansea,Wolf Spider,,
Winnie Mandela,,,,,,,Swaziland,Wombat,,
Winona Ryder,,,,,,,Sweden,Wood Lice,,
Winston Churchill,,,,,,,Switzerland,Wood Mouse,,
Wolf (Gladiators),,,,,,,Sydney,Wood Pigeon,,
Wolfgang Amadeus Mozart,,,,,,,Sydney Harbour Bridge,Woodlouse,,
Woody Allen,,,,,,,Sydney Opera House,Woodpecker,,
Yasser Arafat,,,,,,,Syon Park,Worm,,
Yoko Ono,,,,,,,Syria,Wren,,
Yuri Gagarin,,,,,,,Syrian Desert,Yak,,
Zoe Ball,,,,,,,Table Mountain,Yellow Jacket,,
Zsa Zsa Gabor,,,,,,,Taipei,Yellow Underwing,,
,,,,,,,Taiwan,Yellowhammer,,
,,,,,,,Taj Mahal,Yoke,,
,,,,,,,Tajikistan,Yorkshire Terrier,,
,,,,,,,Tallinn,Zander,,
,,,,,,,Tanzania,Zeal,,
,,,,,,,Tarawa,Zebra,,
,,,,,,,Tashkent,,,
,,,,,,,Tasmania,,,
,,,,,,,Tate Modern,,,
,,,,,,,Tbilisi,,,
,,,,,,,Tegucigalpa,,,
,,,,,,,Teheran,,,
,,,,,,,Temple of Artemis,,,
,,,,,,,Temple of Karnak,,,
,,,,,,,Tennessee,,,
,,,,,,,Texas,,,
,,,,,,,Thailand,,,
,,,,,,,Thames,,,
,,,,,,,The Acropolis,,,
,,,,,,,The Adur,,,
,,,,,,,The Albert Memorial,,,
,,,,,,,The Arctic Circle,,,
,,,,,,,The Arun,,,
,,,,,,,The Aswan Dam,,,
,,,,,,,The Avon,,,
,,,,,,,The Azores,,,
,,,,,,,The Bank of England,,,
,,,,,,,The Baring Strait,,,
,,,,,,,The Bermuda Triangle,,,
,,,,,,,The Black Forest,,,
,,,,,,,The Canary Islands,,,
,,,,,,,The Channel Tunnel,,,
,,,,,,,The Cheviots,,,
,,,,,,,The Chilterns,,,
,,,,,,,The Danube,,,
,,,,,,,The Dart,,,
,,,,,,,The Derwent,,,
,,,,,,,The Eiger,,,
,,,,,,,The Exe,,,
,,,,,,,The Faroes,,,
,,,,,,,The Firth of Clyde,,,
,,,,,,,The Firth of Forth,,,
,,,,,,,The Florida Keys,,,
,,,,,,,The Forest of Dean,,,
,,,,,,,The Forth,,,
,,,,,,,The Forth Bridge,,,
,,,,,,,The Giant's Causeway,,,
,,,,,,,The Grampians,,,
,,,,,,,The Grand Union Canal,,,
,,,,,,,The Great Barrier Reef,,,
,,,,,,,The Hoover Dam,,,
,,,,,,,The Imperial War Museum,,,
,,,,,,,The Isis,,,
,,,,,,,The Isle of Sheppey,,,
,,,,,,,The Isle of Wight,,,
,,,,,,,The Kennet,,,
,,,,,,,The Kremlin,,,
,,,,,,,The Lake District,,,
,,,,,,,The Lizard,,,
,,,,,,,The Llangollen Canal,,,
,,,,,,,The Louvre,,,
,,,,,,,The Matterhorn,,,
,,,,,,,The Medway,,,
,,,,,,,The Menaii Bridge,,,
,,,,,,,The Mendips,,,
,,,,,,,The Natural History Museum,,,
,,,,,,,The Nazca Lines,,,
,,,,,,,The Netherlands,,,
,,,,,,,The New Forest,,,
,,,,,,,The Norfolk Broads,,,
,,,,,,,The North Downs,,,
,,,,,,,The North West Passage,,,
,,,,,,,The North York Moors,,,
,,,,,,,The Old Man of Foy,,,
,,,,,,,The Panama Canal,,,
,,,,,,,The Parthenon,,,
,,,,,,,The Peak District,,,
,,,,,,,The Pennines,,,
,,,,,,,The Pentagon,,,
,,,,,,,The Purbeck Hills,,,
,,,,,,,The QEII Bridge,,,
,,,,,,,The Quantocks,,,
,,,,,,,The Rio Grande,,,
,,,,,,,The Rockies,,,
,,,,,,,The Schilthorn,,,
,,,,,,,The Sea of Japan,,,
,,,,,,,The Seine,,,
,,,,,,,The Seven Sisters,,,
,,,,,,,The Severn,,,
,,,,,,,The Severn Bridge,,,
,,,,,,,The Shetland Islands,,,
,,,,,,,The Shrekhorn,,,
,,,,,,,The Solent,,,
,,,,,,,The Solway Firth,,,
,,,,,,,The Somerset Levels,,,
,,,,,,,The Sphinx,,,
,,,,,,,The Spice Islands,,,
,,,,,,,The Stour,,,
,,,,,,,The Suez Canal,,,
,,,,,,,The Test,,,
,,,,,,,The Thames,,,
,,,,,,,The Trent,,,
,,,,,,,The Trossachs,,,
,,,,,,,The Tyne,,,
,,,,,,,The Vatican,,,
,,,,,,,The Victoria and Albert Museum,,,
,,,,,,,The Wailing Wall,,,
,,,,,,,The Wash,,,
,,,,,,,The Weald,,,
,,,,,,,The Whispering Gallery,,,
,,,,,,,The White House,,,
,,,,,,,The Wye,,,
,,,,,,,The Yorkshire Dales,,,
,,,,,,,The Yungfrau,,,
,,,,,,,Thimphu,,,
,,,,,,,Thirlmere,,,
,,,,,,,Thorpe Park,,,
,,,,,,,Three Mile Island,,,
,,,,,,,Tiananmen Square,,,
,,,,,,,Timbuctoo,,,
,,,,,,,Times Square,,,
,,,,,,,Tirana,,,
,,,,,,,Togo,,,
,,,,,,,Tokyo,,,
,,,,,,,Tonga,,,
,,,,,,,Tower Bridge,,,
,,,,,,,Tower of London,,,
,,,,,,,Trafalgar,,,
,,,,,,,Trafalgar Square,,,
,,,,,,,Trinidad and Tobago,,,
,,,,,,,Tripoli,,,
,,,,,,,Truro ,,,
,,,,,,,Tunis,,,
,,,,,,,Tunisia,,,
,,,,,,,Turkey,,,
,,,,,,,Turkmenistan,,,
,,,,,,,Tuvalu,,,
,,,,,,,Tyne,,,
,,,,,,,Tyne and Wear ,,,
,,,,,,,Uganda,,,
,,,,,,,Ukraine,,,
,,,,,,,Ulan Bator,,,
,,,,,,,Ullswater,,,
,,,,,,,Uluru,,,
,,,,,,,United Arab Emirates,,,
,,,,,,,United States,,,
,,,,,,,Uruguay,,,
,,,,,,,Utah,,,
,,,,,,,Uzbekistan,,,
,,,,,,,Vaduz,,,
,,,,,,,Valletta,,,
,,,,,,,Valley of the Kings,,,
,,,,,,,Vanuatu,,,
,,,,,,,Venezuela,,,
,,,,,,,Venice,,,
,,,,,,,Vermont,,,
,,,,,,,Vesuvius,,,
,,,,,,,Victoria,,,
,,,,,,,Victoria Falls,,,
,,,,,,,Victoria Island,,,
,,,,,,,Vienna,,,
,,,,,,,Vientiane,,,
,,,,,,,Vietnam,,,
,,,,,,,Viking,,,
,,,,,,,Vilnius,,,
,,,,,,,Virginia,,,
,,,,,,,Wakefield ,,,
,,,,,,,Wales,,,
,,,,,,,Wall Street,,,
,,,,,,,Warsaw,,,
,,,,,,,Warwickshire ,,,
,,,,,,,Washington,,,
,,,,,,,Washington D.C.,,,
,,,,,,,Wast Water,,,
,,,,,,,Watling Street,,,
,,,,,,,Wellington,,,
,,,,,,,Wells ,,,
,,,,,,,Wells Cathedral,,,
,,,,,,,Wembley Stadium,,,
,,,,,,,West Midlands ,,,
,,,,,,,West Suffolk ,,,
,,,,,,,West Sussex ,,,
,,,,,,,West Virginia,,,
,,,,,,,West Yorkshire ,,,
,,,,,,,Western Sahara,,,
,,,,,,,Westminster,,,
,,,,,,,Westminster ,,,
,,,,,,,Westminster Abbey,,,
,,,,,,,Westmorland ,,,
,,,,,,,White Cliffs of Dover,,,
,,,,,,,Wicklow Mountains,,,
,,,,,,,Wight ,,,
,,,,,,,Wiltshire ,,,
,,,,,,,Winchester ,,,
,,,,,,,Windermere,,,
,,,,,,,Windhoek,,,
,,,,,,,Windsor Castle,,,
,,,,,,,Windsor Great Park,,,
,,,,,,,Wisconsin,,,
,,,,,,,Wolverhampton ,,,
,,,,,,,Wookey Hole,,,
,,,,,,,Worcester ,,,
,,,,,,,Worcestershire ,,,
,,,,,,,World Trade Centre,,,
,,,,,,,Wyoming,,,
,,,,,,,Yamoussoukro,,,
,,,,,,,Yangtze River,,,
,,,,,,,Yaounde,,,
,,,,,,,Yaren,,,
,,,,,,,Yellow River,,,
,,,,,,,Yellow Sea ,,,
,,,,,,,Yellowstone Park,,,
,,,,,,,Yemen,,,
,,,,,,,Yenisey-Angara River,,,
,,,,,,,Yerevan,,,
,,,,,,,York,,,
,,,,,,,Yorkshire ,,,
,,,,,,,Yosemite National Park,,,
,,,,,,,Zagreb,,,
,,,,,,,Zambia,,,
,,,,,,,Zimbabwe,,,
