Famous people,Fictional characters,Films,Objects,Books,"Games, sports and pastimes",TV Programmes,Geography,Animals,Food and Drink,Fictional Places
Julia Roberts,Sergeant Pepper,Tess Of The D'Urbervilles,,,,,Lake Aral,Large Tortoiseshell,,
Julian Clary,Sergeant Troy,The Abyss,,,,,Lake Baikal,Large White,,
Julius Caesar,Shaggy,The Addams Family,,,,,Lake Bassenthwaite ,Lark,,
Justin Timberlake,Shawn the Sheep,The Addams Family Values,,,,,Lake Huron,Leafcutter,,
Karl Marx,Shere Khan,The African Queen,,,,,Lake Michigan,Leap,,
Kate Bush,Sherlock Holmes,The Aristocats,,,,,Lake Nyasa,Leash,,
Kate Humble,Shrek,The Beach,,,,,Lake Superior,Leather Carp,,
Kate Moss,Sid Phillips,The BFG,,,,,Lake Taganyika,Leech,,
Kathleen Turner,Sideshow Bob,The Birds,,,,,Lake Titicaca,Leemur,,
Katie Price,Silas,The Blob,,,,,Lancashire ,Lemming,,
Keanu Reeves,Silas Marner,The Blue Lagoon,,,,,Lancaster ,Lemur,,
Keith Floyd,Silus Marner,The Bodyguard,,,,,Landsend,Leopard,,
Keith Richards,Simba,The Borrowers,,,,,Laos,Leopard Shark,,
Ken Livingstone,Sindy,The Bourne Identity,,,,,Las Vegas,Liger,,
Kenneth Brannagh,Sir Anthony Dewhurst,The Boys From Brazil,,,,,Latvia,Lime Hawk Moth,,
Kenneth Williams,Sir Percival Blakeney,The Burbs,,,,,Leaning Tower of Pisa,Limpet,,
Kenny Everett,Sir Ulrich Von Lichenstein,The Cable Guy,,,,,Lebanon,Linnet,,
Kevin Costner,Sister Mary Clarence,The Calcium Kid,,,,,Leeds ,Lion,,
Kevin Keegan,Skimbleshanks,The Cat In The Hat,,,,,Legoland,Litter,,
Kiera Knightley,Skippy The Bush Kangaroo,The Cider House Rules,,,,,Leicester ,Little Owl,,
Kiri Te Kawana,Slim Shady,The Client,,,,,Leicestershire ,Little Penguin,,
Kirk Douglas,Slinky,The Dambusters,,,,,Lena River,Little Tern,,
Kray Twins,Smithy,The Day After Tomorrow,,,,,Lesotho,Liver Fluke,,
Kylie Minogue,Snow White,The Day Of The Jackal,,,,,Liberia,Lizard,,
Lady Gaga,Snowball,The Day of the Triffids,,,,,Libreville,Llama,,
Laurence Olivier,Solitaire,The Devil Rides Again,,,,,Libya,Lobster,,
Lee Westwood,Sonic The Hedgehog,The Devil Rides Out,,,,,Lichfield ,Locust,,
Lenin,Spiderman,The dirty Dozen,,,,,Liechtenstein,Loggerhead Turtle,,
Lennox Lewis,Spot,The Eiger Sanction,,,,,Lighthouse of Alexandria,Long Eared Bat,,
Leo Tolstoy,Stan Marsh,The English Patient,,,,,Lighthouse of Pharos,Long Tailed Tit,,
Leon Trotsky,Stanley Ipkiss,The Exorcist,,,,,Lilongwe,Loris,,
Leonard Rossiter,Stitch,The Fall Of The House Of Usher,,,,,Lima,Louse,,
Leonardo da Vinci,Stuart Little,The Fast and the Furious,,,,,Lincoln ,Love Bird,,
Lester Piggot,Sulley,The Firm,,,,,Lincolnshire ,Lugworm,,
Lewis Carroll,Super Mario,The First Wives Club,,,,,Lingfield Race Course,Lyre Bird,,
Liam Gallagher,Superintendant Chalmers,The Flying Ship,,,,,Lisbon,Lyrebird,,
Liberace,Superted,The Fox and the Hound,,,,,Lisburn,Macaw,,
Linda McCartney,Sweep,The French Connection,,,,,Lithuania,Mackrel,,
Linford Christie,Sybil Fawlty,The French Lieutenant's Woman,,,,,Liverpool ,Maggot,,
LL Cool J,Sylvester,The fugitive,,,,,Ljubljana,Magpie,,
Lord Baden-Powell,T1000,The Full Monty,,,,,Loch Fyne,Magpie Moth,,
Lord Byron,The Architect,The Gauntlet,,,,,Loch Lomond,Mallard,,
Lord Lucan,The BFG,The Girls of St Trinian's,,,,,Loch Ness,Mammoth,,
Lord Snowdon,The Cookie Monster,The Go Between,,,,,Lome,Manatee,,
Lord Tennyson,The Dakini Tribe,The Godfather,,,,,London,Mandarin Duck,,
Lou Reed,The Demon Headmaster,The Good Girl,,,,,London ,Manta Ray,,
Louis Armstrong,The Fairy Godmother,The Good The Bad and the Ugly,,,,,London Dungeon,Marbled White,,
Louis Hamilton,The Invisible Man,The Graduate,,,,,London Eye,Mare,,
Loyd Grossman,The Jolly Postman,The Great Escape,,,,,London Zoo,Marlin,,
Luciano Pavarotti,The Nutty Professor,The Great Train Robbery,,,,,Londonderry,Marmot,,
Lucy Neatby,The Oracle,The Green Mile,,,,,Longleat,Marten,,
Ludwig van Beethoven,The Penguin,The Grinch,,,,,Los Angeles,May Fly,,
Lulu,The Pied Piper of Hamlyn,The Guns Of Navarone,,,,,Louisiana,Meerkat,,
Madonna,The Poddington Peas,The Highlander,,,,,Luanda,Megaladon,,
Magnus Pyke,The Sheep-Pig,The Hole,,,,,Lundy,Meiko Shark,,
Mahatma Ghandi,The Sheriff Of Nottingham,The Horse Whisperer,,,,,Lusaka,Merlin,,
Mao Tse-Tung,The Snowman,The Hound Of The Baskervilles,,,,,Luxembourg,Midge,,
Marcel Marceau,The Tooth Fairy,The Hours,,,,,Luzon,Millipede,,
